Codigo_do_alimento; Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Colesterol_(mg);AG_Saturados_(g);AG_Mono _(g);AG_Poli_(g);AG_Linoleico_(g);AG_Linolenico_(g);AG_Trans_total_(g);Acucar_total_(g);Acucar_de_adicao_(g)
6503401;Macarrao ;Farinhas. feculas e massas;15;Sopa;0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;99;Nao se aplica;0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503501;Pure de batata;Farinhas. feculas e massas;99;Nao se aplica;11.45;2.71;1.11;0.2;0.17;0.03;0.17;1.22;0
6503601;Bife vegetal;Farinhas. feculas e massas;99;Nao se aplica;0;0.83;1.16;3.02;2.67;0.35;0.03;0.22;0
6503603;Carne vegetal;Farinhas. feculas e massas;5;Frito(a);0;0.83;1.16;3.02;2.67;0.35;0.03;0.22;0
6503604;Pasta de soja;Farinhas. feculas e massas;99;Nao se aplica;0;0.41;0.54;1.49;1.31;0.18;0;1.27;0
6503605;Carne de soja;Farinhas. feculas e massas;99;Nao se aplica;0;0.83;1.16;3.02;2.67;0.35;0.03;0.22;0
6503702;Amendoim moido;Farinhas. feculas e massas;99;Nao se aplica;0;6.83;24.43;15.56;15.56;0;0;4;0
6504101;Granola ;Farinhas. feculas e massas;99;Nao se aplica;0;0.71;3.21;1.66;1.55;0.09;0;26.22;19.32
6504601;Musli;Farinhas. feculas e massas;99;Nao se aplica;0;0.71;3.21;1.66;1.55;0.09;0;26.22;19.32
