Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6400701;Cara;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400713;Inhame caraquento (cara);Hortalicas tuberosas;2;Cozido(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
6400802;Batata (nao especificada);Hortalicas tuberosas;1;Cru(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400802;Batata (nao especificada);Hortalicas tuberosas;2;Cozido(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400802;Batata (nao especificada);Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400802;Batata (nao especificada);Hortalicas tuberosas;4;Assado(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400802;Batata (nao especificada);Hortalicas tuberosas;5;Frito(a);13.43;33.58;0.24;67.17;0.53;8.4;380;550.76;0.28;0.46;6.68
6400802;Batata (nao especificada);Hortalicas tuberosas;7;Refogado(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400802;Batata (nao especificada);Hortalicas tuberosas;8;Molho vermelho;9;19.2;0.13;37.2;0.45;108.8;242;328.6;0.16;0.26;0.28
6400802;Batata (nao especificada);Hortalicas tuberosas;9;Molho branco;29.28;18.31;0.12;51.69;0.32;24.92;242;292.45;0.14;0.31;1.41
6400802;Batata (nao especificada);Hortalicas tuberosas;12;Ao vinagrete;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400802;Batata (nao especificada);Hortalicas tuberosas;13;Ensopado;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400802;Batata (nao especificada);Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400802;Batata (nao especificada);Hortalicas tuberosas;99;Nao se aplica;8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400908;Mandioquinha;Hortalicas tuberosas;2;Cozido(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400908;Mandioquinha;Hortalicas tuberosas;5;Frito(a);25.65;17.1;0.25;30.4;0.69;25.65;148;218.5;0.09;0.19;2.48
6400908;Mandioquinha;Hortalicas tuberosas;7;Refogado(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6400908;Mandioquinha;Hortalicas tuberosas;13;Ensopado;27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6401001;Rabanete;Hortalicas tuberosas;1;Cru(a);25;10;0.07;20;0.34;39;0;233;0.05;0.28;0.6
6401001;Rabanete;Hortalicas tuberosas;2;Cozido(a);27;16;0.04;23;0.4;21;257;227;0.12;0.15;0.7
6401001;Rabanete;Hortalicas tuberosas;12;Ao vinagrete;27;16;0.04;23;0.4;21;257;227;0.12;0.15;0.7
6401101;Beterraba;Hortalicas tuberosas;1;Cru(a);16;23;0.33;40;0.8;78;0;325;0.08;0.35;0.7
6401101;Beterraba;Hortalicas tuberosas;2;Cozido(a);16;23;0.33;38;0.79;77;222;305;0.07;0.35;0.7
6401101;Beterraba;Hortalicas tuberosas;7;Refogado(a);16;23;0.33;38;0.79;77;222;305;0.07;0.35;1.92
6401101;Beterraba;Hortalicas tuberosas;12;Ao vinagrete;16;23;0.33;38;0.79;77;222;305;0.07;0.35;0.7
6401101;Beterraba;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6401101;Beterraba;Hortalicas tuberosas;99;Nao se aplica;16;23;0.33;40;0.8;78;0;325;0.08;0.35;0.7
6401201;Cenoura;Hortalicas tuberosas;1;Cru(a);33;12;0.14;35;0.3;69;0;320;0.05;0.24;0.1
6401201;Cenoura;Hortalicas tuberosas;2;Cozido(a);30;10;0.16;30;0.34;58;242;235;0.02;0.2;0.7
6401201;Cenoura;Hortalicas tuberosas;5;Frito(a);29.1;9.7;0.15;29.1;0.33;56.26;242;227.95;0.02;0.19;2.05
