Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
7100905;Paleta ;Carnes e visceras;13;Ensopado;264,66;24,22;17,98;    ;    
7100908;Pa com osso;Carnes e visceras;2;Cozido(a);242,00;24,22;15,42;    ;    
7100908;Pa com osso;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;242,00;24,22;15,42;    ;    
7100908;Pa com osso;Carnes e visceras;4;Assado(a);242,00;24,22;15,42;    ;    
7101001;Musculo bovino;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7101001;Musculo bovino;Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7101001;Musculo bovino;Carnes e visceras;8;Molho vermelho;164,00;29,16;4,04;1,08;0,30
7101001;Musculo bovino;Carnes e visceras;13;Ensopado;221,66;36,12;7,56;    ;    
7101001;Musculo bovino;Carnes e visceras;15;Sopa;63,94;3,81;1,81;7,73;0,39
7101006;Chambaril;Carnes e visceras;2;Cozido(a);242,00;24,22;15,42;    ;    
7101006;Chambaril;Carnes e visceras;4;Assado(a);242,00;24,22;15,42;    ;    
7101006;Chambaril;Carnes e visceras;7;Refogado(a);264,66;24,22;17,98;    ;    
7101009;Carne marica bovina;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7101009;Carne marica bovina;Carnes e visceras;5;Frito(a);221,66;36,12;7,56;    ;    
7101009;Carne marica bovina;Carnes e visceras;7;Refogado(a);221,66;36,12;7,56;    ;    
7101011;Vazio (carne bovina);Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7101011;Vazio (carne bovina);Carnes e visceras;3;Grelhado(a)/brasa/churrasco;204,00;30,67;9,00;    ;    
7101011;Vazio (carne bovina);Carnes e visceras;5;Frito(a);226,66;30,67;11,56;    ;    
7101101;Peito bovino;Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7101101;Peito bovino;Carnes e visceras;5;Frito(a);226,66;30,67;11,56;    ;    
7101202;Fraldinha (capa de file);Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7101202;Fraldinha (capa de file);Carnes e visceras;3;Grelhado(a)/brasa/churrasco;199,00;36,12;5,00;    ;    
7101202;Fraldinha (capa de file);Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7101202;Fraldinha (capa de file);Carnes e visceras;5;Frito(a);221,66;36,12;7,56;    ;    
7101203;Aba de file ;Carnes e visceras;1;Cru(a);242,00;24,22;15,42;    ;    
7101203;Aba de file ;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;242,00;24,22;15,42;    ;    
7101203;Aba de file ;Carnes e visceras;5;Frito(a);264,66;24,22;17,98;    ;    
7101301;Costela bovina;Carnes e visceras;2;Cozido(a);365,00;22,60;29,79;    ;    
7101301;Costela bovina;Carnes e visceras;4;Assado(a);365,00;22,60;29,79;    ;    
7101301;Costela bovina;Carnes e visceras;7;Refogado(a);365,00;22,60;29,79;    ;    
7101301;Costela bovina;Carnes e visceras;13;Ensopado;365,00;22,60;29,79;    ;    
7101704;Jacare (carne bovina de segunda c/ osso);Carnes e visceras;2;Cozido(a);365,00;22,60;29,79;    ;    
7101704;Jacare (carne bovina de segunda c/ osso);Carnes e visceras;4;Assado(a);365,00;22,60;29,79;    ;    
7101704;Jacare (carne bovina de segunda c/ osso);Carnes e visceras;5;Frito(a);365,00;22,60;29,79;    ;    
7101706;File de segunda;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;242,00;24,22;15,42;    ;    
7101706;File de segunda;Carnes e visceras;4;Assado(a);242,00;24,22;15,42;    ;    
7101706;File de segunda;Carnes e visceras;5;Frito(a);264,66;24,22;17,98;    ;    
7101706;File de segunda;Carnes e visceras;6;Empanado(a)/à milanesa;280,84;24,68;18,03;3,39;0,14
7101706;File de segunda;Carnes e visceras;10;Ao alho e oleo;264,66;24,22;17,98;    ;    
7101801;Viscera bovina ;Carnes e visceras;2;Cozido(a);191,00;29,08;5,26;5,13;    
7101801;Viscera bovina ;Carnes e visceras;5;Frito(a);213,66;29,08;7,82;5,13;    
7101806;Panelada (visceras bovinas nao especificadas);Carnes e visceras;2;Cozido(a);100,04;13,98;2,96;4,18;0,62
7101806;Panelada (visceras bovinas nao especificadas);Carnes e visceras;13;Ensopado;100,04;13,98;2,96;4,18;0,62
7101901;Coracao bovino;Carnes e visceras;2;Cozido(a);165,00;28,48;4,73;0,15;    
7101901;Coracao bovino;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;165,00;28,48;4,73;0,15;    
7101901;Coracao bovino;Carnes e visceras;4;Assado(a);165,00;28,48;4,73;0,15;    
7101901;Coracao bovino;Carnes e visceras;5;Frito(a);187,66;28,48;7,29;0,15;    
7102001;Rim de boi ;Carnes e visceras;2;Cozido(a);158,00;27,27;4,65;    ;    
7102102;Bofe bovino;Carnes e visceras;4;Assado(a);158,00;27,27;4,65;    ;    
7102102;Bofe bovino;Carnes e visceras;5;Frito(a);180,66;27,27;7,21;    ;    
7102102;Bofe bovino;Carnes e visceras;7;Refogado(a);180,66;27,27;7,21;    ;    
7102201;Miolo de boi;Carnes e visceras;2;Cozido(a);151,00;11,67;10,53;1,48;    
7102401;Tripa bovina;Carnes e visceras;2;Cozido(a);94,00;11,71;4,05;1,99;    
7102401;Tripa bovina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;94,00;11,71;4,05;1,99;    
7102401;Tripa bovina;Carnes e visceras;4;Assado(a);94,00;11,71;4,05;1,99;    
7102401;Tripa bovina;Carnes e visceras;5;Frito(a);116,66;11,71;6,61;1,99;    
7102402;Dobradinha fresca;Carnes e visceras;2;Cozido(a);94,00;11,71;4,05;1,99;    
7102402;Dobradinha fresca;Carnes e visceras;4;Assado(a);94,00;11,71;4,05;1,99;    
7102402;Dobradinha fresca;Carnes e visceras;8;Molho vermelho;80,00;9,63;3,28;2,67;0,30
7102402;Dobradinha fresca;Carnes e visceras;13;Ensopado;116,66;11,71;6,61;1,99;    
7102402;Dobradinha fresca;Carnes e visceras;99;Nao se aplica;94,00;11,71;4,05;1,99;    
7102403;Fato bovino;Carnes e visceras;2;Cozido(a);94,00;11,71;4,05;1,99;    
7102403;Fato bovino;Carnes e visceras;5;Frito(a);116,66;11,71;6,61;1,99;    
7102404;Fato caprino;Carnes e visceras;2;Cozido(a);94,00;11,71;4,05;1,99;    
7102501;Figado bovino;Carnes e visceras;1;Cru(a);191,00;29,08;5,26;5,13;    
7102501;Figado bovino;Carnes e visceras;2;Cozido(a);191,00;29,08;5,26;5,13;    
7102501;Figado bovino;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;191,00;29,08;5,26;5,13;    
7102501;Figado bovino;Carnes e visceras;4;Assado(a);191,00;29,08;5,26;5,13;    
7102501;Figado bovino;Carnes e visceras;5;Frito(a);213,66;29,08;7,82;5,13;    
7102501;Figado bovino;Carnes e visceras;6;Empanado(a)/à milanesa;229,84;29,54;7,87;8,52;0,14
7102501;Figado bovino;Carnes e visceras;7;Refogado(a);213,66;29,08;7,82;5,13;    
7102501;Figado bovino;Carnes e visceras;8;Molho vermelho;157,60;23,53;4,24;5,18;0,30
7102501;Figado bovino;Carnes e visceras;10;Ao alho e oleo;213,66;29,08;7,82;5,13;    
7102501;Figado bovino;Carnes e visceras;13;Ensopado;213,66;29,08;7,82;5,13;    
7102601;Cupim;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;330,10;28,63;23,04;    ;    
7102601;Cupim;Carnes e visceras;4;Assado(a);330,10;28,63;23,04;    ;    
7102601;Cupim;Carnes e visceras;5;Frito(a);363,08;26,91;27,63;    ;    
7102701;Lingua bovina;Carnes e visceras;2;Cozido(a);284,00;19,29;22,30;    ;    
7102701;Lingua bovina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;284,00;19,29;22,30;    ;    
7102701;Lingua bovina;Carnes e visceras;4;Assado(a);284,00;19,29;22,30;    ;    
7102701;Lingua bovina;Carnes e visceras;5;Frito(a);306,66;19,29;24,86;    ;    
7102701;Lingua bovina;Carnes e visceras;8;Molho vermelho;232,00;15,70;17,88;1,08;0,30
7102701;Lingua bovina;Carnes e visceras;13;Ensopado;306,66;19,29;24,86;    ;    
7102801;Rabada de boi;Carnes e visceras;99;Nao se aplica;365,00;22,60;29,79;    ;    
7103101;Mocoto bovino;Carnes e visceras;2;Cozido(a);214,00;28,81;10,13;    ;    
7103101;Mocoto bovino;Carnes e visceras;13;Ensopado;214,00;28,81;10,13;    ;    
7103101;Mocoto bovino;Carnes e visceras;15;Sopa;63,94;3,81;1,81;7,73;0,39
7103101;Mocoto bovino;Carnes e visceras;99;Nao se aplica;214,00;28,81;10,13;    ;    
7103104;Braco bovino;Carnes e visceras;5;Frito(a);221,66;36,12;7,56;    ;    
7103105;Mao bovina;Carnes e visceras;2;Cozido(a);214,00;28,81;10,13;    ;    
7103301;Carre ;Carnes e visceras;2;Cozido(a);397,00;29,06;30,30;    ;    
7103301;Carre ;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;397,00;29,06;30,30;    ;    
7103301;Carre ;Carnes e visceras;4;Assado(a);397,00;29,06;30,30;    ;    
7103301;Carre ;Carnes e visceras;5;Frito(a);397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;2;Cozido(a);397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;4;Assado(a);397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;5;Frito(a);397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;6;Empanado(a)/à milanesa;397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;7;Refogado(a);397,00;29,06;30,30;    ;    
7103305;Bisteca suina;Carnes e visceras;99;Nao se aplica;397,00;29,06;30,30;    ;    
7103401;Pernil suino;Carnes e visceras;2;Cozido(a);289,00;25,34;20,06;    ;    
7103401;Pernil suino;Carnes e visceras;4;Assado(a);289,00;25,34;20,06;    ;    
7103401;Pernil suino;Carnes e visceras;5;Frito(a);338,57;25,34;25,67;    ;    
7103401;Pernil suino;Carnes e visceras;7;Refogado(a);338,57;25,34;25,67;    ;    
7103403;Quarto suino;Carnes e visceras;2;Cozido(a);289,00;25,34;20,06;    ;    
7103501;Costela suina;Carnes e visceras;1;Cru(a);397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;2;Cozido(a);397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;4;Assado(a);397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;5;Frito(a);397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;7;Refogado(a);397,00;29,06;30,30;    ;    
7103501;Costela suina;Carnes e visceras;8;Molho vermelho;322,40;23,51;24,28;1,08;0,30
7103501;Costela suina;Carnes e visceras;13;Ensopado;397,00;29,06;30,30;    ;    
